# time x y z qx qy qz qw
1.403637134538319111e+09 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.403637134588319063e+09 -4.506678799999999803e-04 1.157987999999999986e-03 -4.550333600000000360e-03 -4.981519699999999856e-02 -7.942501699999999776e-01 6.869877900000000018e-04 6.055449200000000420e-01
1.403637134638319016e+09 -1.700109100000000029e-03 3.911458599999999806e-03 -1.738678399999999888e-02 -5.079362400000000249e-02 -7.973765000000000436e-01 -1.247283399999999992e-04 6.013407600000000297e-01
1.403637134688318968e+09 -3.605035199999999992e-03 7.805348000000000147e-03 -3.800937900000000286e-02 -5.086165499999999867e-02 -8.016251599999999478e-01 -4.466172899999999897e-04 5.956593000000000027e-01
1.403637134738318920e+09 -6.181243200000000396e-03 1.237249300000000003e-02 -6.491313699999999576e-02 -5.048577199999999821e-02 -8.071596699999999958e-01 2.101543100000000022e-03 5.881666800000000528e-01
1.403637134788319111e+09 -8.511826400000000251e-03 1.759476800000000021e-02 -9.553606000000000598e-02 -4.970076699999999986e-02 -8.139518100000000533e-01 5.332712899999999742e-03 5.787778799999999668e-01
1.403637134838319063e+09 -1.027608399999999957e-02 2.342063399999999920e-02 -1.278077400000000030e-01 -5.123454599999999887e-02 -8.211700899999999637e-01 1.016925400000000083e-02 5.682880399999999943e-01
1.403637134888319016e+09 -1.172320299999999975e-02 3.024998099999999870e-02 -1.593168199999999979e-01 -5.282268200000000274e-02 -8.280913800000000435e-01 1.552892999999999982e-02 5.578828599999999804e-01
1.403637134938318968e+09 -1.286592599999999975e-02 3.849231499999999917e-02 -1.883877899999999994e-01 -5.667596999999999913e-02 -8.333700899999999523e-01 2.019499599999999978e-02 5.494308799999999549e-01
1.403637134988318920e+09 -1.427555299999999985e-02 4.819027199999999928e-02 -2.134253999999999873e-01 -6.019750299999999943e-02 -8.361609199999999742e-01 2.607746199999999917e-02 5.445467400000000291e-01
1.403637135038319111e+09 -1.613904899999999906e-02 6.016305400000000053e-02 -2.336280900000000105e-01 -6.301315799999999967e-02 -8.374422599999999939e-01 2.969648299999999921e-02 5.420681899999999498e-01
1.403637135088319063e+09 -1.872455199999999848e-02 7.456634700000000504e-02 -2.486725499999999922e-01 -6.538423000000000151e-02 -8.380958800000000153e-01 3.248427200000000153e-02 5.406153700000000395e-01
1.403637135138319016e+09 1.751862200000000105e-02 1.572324900000000025e-01 -4.979221200000000236e-01 -6.461332499999999923e-02 -8.395475399999999810e-01 3.155100300000000108e-02 5.385068100000000024e-01
1.403637135188318968e+09 2.987744200000000058e-02 9.321975899999999579e-03 -5.851036099999999962e-01 -6.179791300000000293e-02 -8.426220800000000510e-01 3.309973399999999871e-02 5.339227100000000226e-01
1.403637135238318920e+09 4.013600999999999974e-02 -9.444420200000000487e-02 -5.840326599999999813e-01 -6.036566299999999996e-02 -8.453979499999999536e-01 3.474780699999999861e-02 5.295761300000000338e-01
1.403637135288319111e+09 3.290635699999999719e-02 -1.043941699999999945e-01 -5.412143499999999552e-01 -6.143174700000000182e-02 -8.481585699999999450e-01 3.449337499999999973e-02 5.250365599999999855e-01
1.403637135338319063e+09 2.977083599999999844e-02 -9.080113200000000662e-02 -4.985261400000000065e-01 -6.298721399999999970e-02 -8.489256200000000474e-01 3.436936899999999684e-02 5.236188099999999901e-01
1.403637135388319016e+09 1.906433000000000086e-02 -5.043175800000000014e-02 -4.571585599999999916e-01 -7.127154400000000611e-02 -8.466634899999999631e-01 3.062290900000000024e-02 5.264442299999999575e-01
1.403637135438318968e+09 1.508853400000000067e-02 -3.564638900000000055e-02 -4.382074100000000194e-01 -7.222247800000000661e-02 -8.414670199999999545e-01 2.736516300000000138e-02 5.347600599999999815e-01
