# time x y z qx qy qz qw
1.403636579763555527e+09 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.403636579813555479e+09 -2.237311600000000008e-04 -1.627890300000000049e-04 -1.945840600000000101e-02 -3.874476500000000045e-02 -8.011149199999999526e-01 -6.308410000000000406e-03 5.972218400000000038e-01
1.403636579863555431e+09 -2.866600700000000203e-03 -4.919250800000000230e-05 -3.958231699999999881e-02 -3.490870499999999821e-02 -8.032102300000000250e-01 -1.412461700000000077e-02 5.945041599999999482e-01
1.403636579913555384e+09 -2.808175200000000062e-03 -2.299002100000000111e-03 -6.233571000000000251e-02 -4.212909299999999940e-02 -8.055127100000000206e-01 -5.596328499999999977e-03 5.910525300000000204e-01
1.403636579963555574e+09 -1.701781199999999935e-03 -3.644007099999999923e-03 -8.848394299999999546e-02 -4.235402800000000190e-02 -8.090229399999999682e-01 -5.154309499999999884e-03 5.862264499999999545e-01
1.403636580013555527e+09 -1.581677999999999990e-03 -5.525840100000000213e-03 -1.186522299999999974e-01 -4.502102899999999713e-02 -8.154543699999999840e-01 -2.464640499999999883e-03 5.770625600000000022e-01
1.403636580063555479e+09 -4.692993400000000041e-04 -7.230501299999999958e-03 -1.468633900000000103e-01 -4.596028600000000297e-02 -8.175597999999999477e-01 -1.984088000000000171e-03 5.740032099999999859e-01
1.403636580113555431e+09 4.636409800000000137e-04 -8.255705900000000208e-03 -1.743265999999999982e-01 -4.731478900000000293e-02 -8.185153200000000462e-01 -6.166491199999999924e-04 5.725326200000000476e-01
1.403636580163555384e+09 2.831571299999999843e-03 -8.839470599999999650e-03 -2.028986399999999912e-01 -4.804655299999999879e-02 -8.220490599999999981e-01 3.167341700000000189e-04 5.673859100000000488e-01
1.403636580213555574e+09 4.145530899999999574e-03 -9.244794000000000622e-03 -2.276982899999999976e-01 -4.749123699999999865e-02 -8.218705400000000383e-01 3.798336200000000098e-04 5.676911700000000227e-01
1.403636580263555527e+09 6.272956300000000207e-03 -1.065499500000000044e-02 -2.505747700000000022e-01 -4.671344499999999927e-02 -8.238911700000000060e-01 -9.672316699999999889e-05 5.648195999999999772e-01
1.403636580313555479e+09 7.570469899999999683e-03 -1.196295799999999923e-02 -2.703783300000000001e-01 -4.446643399999999913e-02 -8.265759599999999985e-01 -2.127289200000000158e-03 5.610618400000000339e-01
1.403636580363555431e+09 9.967350999999999295e-03 -1.262468700000000076e-02 -2.882294200000000139e-01 -4.342506899999999670e-02 -8.278869199999999706e-01 -1.347507800000000014e-03 5.592098800000000480e-01
1.403636580413555384e+09 1.411951399999999968e-02 -1.334321800000000044e-02 -3.058590199999999815e-01 -4.207430699999999829e-02 -8.320387399999999989e-01 -2.469650299999999986e-03 5.531140799999999524e-01
1.403636580463555574e+09 1.624348399999999901e-02 -1.568992300000000145e-02 -3.212579700000000038e-01 -4.140200299999999972e-02 -8.376394700000000526e-01 -2.536180900000000165e-03 5.446462699999999879e-01
1.403636580513555527e+09 1.521548799999999924e-02 -1.653881800000000027e-02 -3.261959799999999965e-01 -4.085243699999999839e-02 -8.440213399999999533e-01 -3.279194500000000203e-03 5.347413399999999539e-01
1.403636580563555479e+09 1.280162900000000013e-02 -1.843266000000000002e-02 -3.250515700000000119e-01 -4.123148799999999670e-02 -8.482550300000000210e-01 -1.915429200000000028e-03 5.279769899999999794e-01
1.403636580613555431e+09 1.248528800000000064e-02 -1.830812500000000148e-02 -3.131897100000000100e-01 -4.094044399999999945e-02 -8.488739800000000280e-01 -2.167412500000000079e-04 5.270074000000000147e-01
1.403636580663555384e+09 1.115534699999999949e-02 -1.825452300000000166e-02 -2.928352300000000019e-01 -4.065177500000000110e-02 -8.481052100000000538e-01 -1.762734999999999920e-04 5.282659899999999631e-01
1.403636580713555574e+09 9.473515999999999534e-03 -1.853169799999999923e-02 -2.636576199999999814e-01 -3.977242799999999856e-02 -8.461383300000000496e-01 -2.568218599999999921e-03 5.314710499999999449e-01
1.403636580763555527e+09 6.413842299999999996e-03 -1.808141499999999999e-02 -2.292411500000000046e-01 -3.843994800000000156e-02 -8.434432400000000385e-01 -6.368719400000000253e-03 5.358034299999999694e-01
1.403636580813555479e+09 2.995782900000000092e-03 -1.758255300000000076e-02 -1.914703299999999941e-01 -3.761474499999999804e-02 -8.400363499999999872e-01 -1.137676800000000064e-02 5.411050200000000476e-01
1.403636580863555431e+09 9.999489300000000125e-05 -1.738875700000000121e-02 -1.502455900000000122e-01 -3.762402499999999844e-02 -8.361241299999999654e-01 -1.789992300000000161e-02 5.469556300000000260e-01
1.403636580913555384e+09 -2.996711899999999866e-03 -1.746214700000000078e-02 -1.091656899999999958e-01 -3.751869800000000310e-02 -8.319878099999999943e-01 -2.475232999999999947e-02 5.529701200000000094e-01
1.403636580963555574e+09 -6.770715099999999667e-03 -1.851984300000000111e-02 -6.873303899999999578e-02 -3.699385599999999857e-02 -8.278483300000000211e-01 -2.814768000000000131e-02 5.590226400000000151e-01
1.403636581013555527e+09 -8.359830599999999723e-03 -1.879270200000000141e-02 -2.995987599999999987e-02 -3.582641400000000087e-02 -8.237959599999999938e-01 -2.929947000000000107e-02 5.649940100000000465e-01
1.403636581063555479e+09 -1.032784500000000043e-02 -1.926347999999999949e-02 5.602418700000000307e-03 -3.551763899999999669e-02 -8.200699399999999972e-01 -2.863637600000000158e-02 5.704417200000000410e-01
1.403636581113555431e+09 -1.228033000000000076e-02 -1.910954100000000072e-02 3.910586399999999713e-02 -3.625590900000000283e-02 -8.164396200000000325e-01 -2.884607200000000038e-02 5.755690700000000160e-01
1.403636581163555384e+09 -1.399838200000000019e-02 -1.859169899999999973e-02 6.944610800000000639e-02 -3.876061199999999984e-02 -8.119031199999999782e-01 -2.784622700000000117e-02 5.818380600000000458e-01
1.403636581213555574e+09 -1.635016900000000120e-02 -1.848637100000000144e-02 9.397882000000000458e-02 -4.033596799999999982e-02 -8.070261800000000374e-01 -2.747638800000000089e-02 5.884953699999999621e-01
1.403636581263555527e+09 -1.714169200000000004e-02 -1.772744600000000087e-02 1.155321299999999968e-01 -4.215903099999999959e-02 -8.014915500000000526e-01 -2.624951099999999968e-02 5.959403300000000181e-01
1.403636581313555479e+09 -1.591409300000000068e-02 -1.667069300000000032e-02 1.332198099999999941e-01 -4.109744500000000328e-02 -7.967976799999999526e-01 -2.674015500000000156e-02 6.022536200000000450e-01
1.403636581363555431e+09 -1.570588100000000140e-02 -1.653034999999999921e-02 1.447571400000000064e-01 -4.115210100000000343e-02 -7.936775999999999831e-01 -2.749615899999999918e-02 6.063219800000000381e-01
1.403636581413555384e+09 -1.612310900000000005e-02 -1.629341100000000070e-02 1.457842400000000094e-01 -4.027048800000000012e-02 -7.933258699999999886e-01 -3.096536100000000027e-02 6.066741199999999834e-01
1.403636581463555574e+09 -1.315529799999999930e-02 -1.367241999999999937e-02 1.359689799999999893e-01 -3.880608299999999816e-02 -7.945170799999999867e-01 -3.339239799999999675e-02 6.050798600000000249e-01
