# time x y z qx qy qz qw
1.403638128940097094e+09 4.677065999999999946e+00 -1.749440000000000106e+00 5.685670000000000446e-01 -7.611299999999999732e-01 -3.559160000000000101e-01 -4.858430000000000248e-01 2.407489999999999908e-01
1.403638128945096970e+09 4.677071999999999896e+00 -1.749468999999999941e+00 5.685550000000000326e-01 -7.611029999999999740e-01 -3.559129999999999794e-01 -4.858680000000000221e-01 2.407900000000000040e-01
1.403638128950097084e+09 4.677070999999999756e+00 -1.749497999999999998e+00 5.685419999999999918e-01 -7.610759999999999748e-01 -3.559120000000000061e-01 -4.858870000000000133e-01 2.408409999999999995e-01
1.403638128955097198e+09 4.677063000000000415e+00 -1.749527000000000054e+00 5.685270000000000046e-01 -7.610479999999999468e-01 -3.559089999999999754e-01 -4.859089999999999798e-01 2.408899999999999930e-01
1.403638128960097075e+09 4.677050000000000374e+00 -1.749557999999999947e+00 5.685099999999999598e-01 -7.610339999999999883e-01 -3.559039999999999981e-01 -4.859129999999999838e-01 2.409340000000000093e-01
1.403638128965096951e+09 4.677035000000000053e+00 -1.749589999999999979e+00 5.684890000000000221e-01 -7.610369999999999635e-01 -3.558999999999999941e-01 -4.858910000000000173e-01 2.409719999999999918e-01
1.403638128970097065e+09 4.677019999999999733e+00 -1.749624000000000068e+00 5.684669999999999446e-01 -7.610559999999999548e-01 -3.558939999999999881e-01 -4.858560000000000101e-01 2.409920000000000118e-01
1.403638128975096941e+09 4.677006999999999692e+00 -1.749659000000000075e+00 5.684470000000000356e-01 -7.610789999999999500e-01 -3.558859999999999801e-01 -4.858279999999999821e-01 2.409890000000000088e-01
1.403638128980097055e+09 4.677000999999999742e+00 -1.749692999999999943e+00 5.684299999999999908e-01 -7.610949999999999660e-01 -3.558810000000000029e-01 -4.858149999999999968e-01 2.409699999999999898e-01
1.403638128985096931e+09 4.676999999999999602e+00 -1.749725999999999893e+00 5.684139999999999748e-01 -7.611090000000000355e-01 -3.558859999999999801e-01 -4.858080000000000176e-01 2.409340000000000093e-01
1.403638128990097046e+09 4.677004000000000161e+00 -1.749757999999999925e+00 5.684000000000000163e-01 -7.611170000000000435e-01 -3.558959999999999901e-01 -4.858129999999999948e-01 2.408849999999999880e-01
1.403638128995096922e+09 4.677011000000000251e+00 -1.749784000000000006e+00 5.683880000000000043e-01 -7.611120000000000108e-01 -3.559109999999999774e-01 -4.858330000000000148e-01 2.408379999999999965e-01
