# time x y z qx qy qz qw
1.403715524907143116e+09 5.153560000000000363e-01 1.996772999999999909e+00 9.711039999999999672e-01 7.899850000000000483e-01 -2.053760000000000030e-01 5.545280000000000209e-01 1.619960000000000011e-01
1.403715524912142992e+09 5.153419999999999668e-01 1.996723000000000026e+00 9.710769999999999680e-01 7.900150000000000228e-01 -2.052829999999999933e-01 5.545459999999999834e-01 1.619039999999999924e-01
1.403715524917143106e+09 5.153210000000000290e-01 1.996664999999999912e+00 9.710509999999999975e-01 7.900279999999999525e-01 -2.052219999999999878e-01 5.545639999999999459e-01 1.618600000000000039e-01
1.403715524922142982e+09 5.152919999999999723e-01 1.996596999999999955e+00 9.710280000000000022e-01 7.900120000000000475e-01 -2.052150000000000085e-01 5.545870000000000521e-01 1.618690000000000129e-01
1.403715524927143097e+09 5.152550000000000185e-01 1.996518999999999933e+00 9.710050000000000070e-01 7.899869999999999948e-01 -2.052650000000000030e-01 5.545900000000000274e-01 1.619170000000000054e-01
1.403715524932142735e+09 5.152139999999999498e-01 1.996437999999999935e+00 9.709809999999999830e-01 7.899490000000000123e-01 -2.053550000000000098e-01 5.545889999999999986e-01 1.619899999999999951e-01
1.403715524937143087e+09 5.151759999999999673e-01 1.996358999999999995e+00 9.709539999999999837e-01 7.899159999999999515e-01 -2.054549999999999987e-01 5.545809999999999906e-01 1.620510000000000006e-01
1.403715524942142963e+09 5.151430000000000176e-01 1.996289999999999898e+00 9.709240000000000093e-01 7.899049999999999683e-01 -2.055339999999999945e-01 5.545619999999999994e-01 1.620689999999999908e-01
1.403715524947143078e+09 5.151200000000000223e-01 1.996234000000000064e+00 9.708930000000000060e-01 7.899080000000000545e-01 -2.055500000000000105e-01 5.545590000000000241e-01 1.620489999999999986e-01
1.403715524952142954e+09 5.151059999999999528e-01 1.996191000000000049e+00 9.708630000000000315e-01 7.899329999999999963e-01 -2.055089999999999972e-01 5.545539999999999914e-01 1.619950000000000001e-01
1.403715524957143068e+09 5.151059999999999528e-01 1.996162999999999910e+00 9.708320000000000283e-01 7.899620000000000530e-01 -2.054269999999999985e-01 5.545679999999999499e-01 1.619099999999999984e-01
1.403715524962142944e+09 5.150979999999999448e-01 1.996129000000000042e+00 9.708040000000000003e-01 7.899779999999999580e-01 -2.053500000000000048e-01 5.545940000000000314e-01 1.618380000000000096e-01
1.403715524967143059e+09 5.150860000000000438e-01 1.996091000000000060e+00 9.707789999999999475e-01 7.899880000000000235e-01 -2.053030000000000133e-01 5.546140000000000514e-01 1.617820000000000091e-01
1.403715524972142935e+09 5.150670000000000526e-01 1.996043999999999929e+00 9.707550000000000345e-01 7.899789999999999868e-01 -2.053039999999999865e-01 5.546320000000000139e-01 1.617599999999999871e-01
1.403715524977143049e+09 5.150419999999999998e-01 1.995989000000000013e+00 9.707329999999999570e-01 7.899629999999999708e-01 -2.053510000000000058e-01 5.546309999999999851e-01 1.617800000000000071e-01
1.403715524982142925e+09 5.150130000000000541e-01 1.995929000000000064e+00 9.707090000000000440e-01 7.899500000000000410e-01 -2.054189999999999905e-01 5.546090000000000186e-01 1.618360000000000076e-01
1.403715524987142801e+09 5.149850000000000261e-01 1.995872000000000090e+00 9.706869999999999665e-01 7.899370000000000003e-01 -2.054769999999999930e-01 5.545849999999999946e-01 1.619069999999999954e-01
1.403715524992142916e+09 5.149620000000000308e-01 1.995826000000000100e+00 9.706679999999999753e-01 7.899329999999999963e-01 -2.054950000000000110e-01 5.545689999999999786e-01 1.619559999999999889e-01
1.403715524997143030e+09 5.149470000000000436e-01 1.995794000000000068e+00 9.706510000000000415e-01 7.899359999999999715e-01 -2.054610000000000047e-01 5.545839999999999659e-01 1.619349999999999956e-01
1.403715525002142906e+09 5.149359999999999493e-01 1.995768999999999904e+00 9.706360000000000543e-01 7.899350000000000538e-01 -2.054060000000000052e-01 5.546290000000000386e-01 1.618580000000000019e-01
1.403715525007143021e+09 5.149399999999999533e-01 1.995751000000000053e+00 9.706339999999999968e-01 7.899410000000000043e-01 -2.053540000000000088e-01 5.546619999999999884e-01 1.617820000000000091e-01
1.403715525012142897e+09 5.149230000000000196e-01 1.995714999999999906e+00 9.706190000000000095e-01 7.899260000000000170e-01 -2.054030000000000022e-01 5.546689999999999676e-01 1.617649999999999921e-01
1.403715525017143011e+09 5.148949999999999916e-01 1.995665000000000022e+00 9.706010000000000471e-01 7.899040000000000505e-01 -2.055109999999999992e-01 5.546400000000000219e-01 1.618410000000000126e-01
1.403715525022142887e+09 5.148610000000000131e-01 1.995610000000000106e+00 9.705840000000000023e-01 7.898830000000000018e-01 -2.056290000000000062e-01 5.545889999999999986e-01 1.619649999999999979e-01
1.403715525027143002e+09 5.148340000000000138e-01 1.995565000000000033e+00 9.705690000000000150e-01 7.898600000000000065e-01 -2.057120000000000060e-01 5.545630000000000281e-01 1.620580000000000076e-01
1.403715525032143116e+09 5.148230000000000306e-01 1.995543999999999984e+00 9.705549999999999455e-01 7.898610000000000353e-01 -2.056890000000000107e-01 5.545670000000000321e-01 1.620699999999999918e-01
1.403715525037142992e+09 5.148289999999999811e-01 1.995549000000000017e+00 9.705420000000000158e-01 7.898859999999999770e-01 -2.055639999999999967e-01 5.546130000000000226e-01 1.619500000000000106e-01
1.403715525042143345e+09 5.148430000000000506e-01 1.995562000000000058e+00 9.705279999999999463e-01 7.899159999999999515e-01 -2.053959999999999952e-01 5.546879999999999589e-01 1.617589999999999861e-01
1.403715525047142982e+09 5.148509999999999476e-01 1.995563999999999893e+00 9.705120000000000413e-01 7.899680000000000035e-01 -2.052539999999999920e-01 5.547130000000000116e-01 1.616019999999999956e-01
1.403715525052143097e+09 5.148409999999999931e-01 1.995541999999999927e+00 9.704930000000000501e-01 7.900049999999999573e-01 -2.052110000000000045e-01 5.546879999999999589e-01 1.615590000000000082e-01
1.403715525057142973e+09 5.147850000000000481e-01 1.995441000000000020e+00 9.704650000000000221e-01 7.900009999999999533e-01 -2.052309999999999968e-01 5.546830000000000371e-01 1.615719999999999934e-01
1.403715525062143087e+09 5.147500000000000409e-01 1.995386000000000104e+00 9.704490000000000061e-01 7.899800000000000155e-01 -2.053510000000000058e-01 5.546339999999999604e-01 1.616889999999999994e-01
1.403715525067142963e+09 5.147140000000000049e-01 1.995333000000000023e+00 9.704359999999999653e-01 7.899429999999999508e-01 -2.054779999999999940e-01 5.546079999999999899e-01 1.617969999999999964e-01
1.403715525072143078e+09 5.146840000000000304e-01 1.995287999999999951e+00 9.704220000000000068e-01 7.899119999999999475e-01 -2.055800000000000127e-01 5.545949999999999491e-01 1.618640000000000079e-01
1.403715525077142954e+09 5.146629999999999816e-01 1.995258999999999894e+00 9.704059999999999908e-01 7.899059999999999970e-01 -2.056300000000000072e-01 5.545799999999999619e-01 1.618789999999999951e-01
1.403715525082143068e+09 5.146530000000000271e-01 1.995244000000000018e+00 9.703880000000000283e-01 7.899220000000000130e-01 -2.056270000000000042e-01 5.545719999999999539e-01 1.618340000000000056e-01
1.403715525087142944e+09 5.146530000000000271e-01 1.995241999999999960e+00 9.703699999999999548e-01 7.899500000000000410e-01 -2.055810000000000137e-01 5.545769999999999866e-01 1.617399999999999949e-01
1.403715525092143059e+09 5.146589999999999776e-01 1.995249000000000050e+00 9.703570000000000251e-01 7.899850000000000483e-01 -2.054930000000000090e-01 5.545909999999999451e-01 1.616319999999999979e-01
1.403715525097142935e+09 5.146650000000000391e-01 1.995255999999999919e+00 9.703490000000000171e-01 7.900030000000000108e-01 -2.054149999999999865e-01 5.546299999999999564e-01 1.615090000000000137e-01
1.403715525102143049e+09 5.146629999999999816e-01 1.995254000000000083e+00 9.703429999999999556e-01 7.900009999999999533e-01 -2.053949999999999942e-01 5.546659999999999924e-01 1.614240000000000119e-01
1.403715525107142925e+09 5.145859999999999879e-01 1.995141000000000053e+00 9.703389999999999516e-01 7.899899999999999700e-01 -2.054390000000000105e-01 5.546560000000000379e-01 1.614539999999999864e-01
1.403715525112143040e+09 5.145629999999999926e-01 1.995106999999999964e+00 9.703319999999999723e-01 7.899509999999999588e-01 -2.055309999999999915e-01 5.546569999999999556e-01 1.615219999999999989e-01
1.403715525117143154e+09 5.145380000000000509e-01 1.995066000000000006e+00 9.703209999999999891e-01 7.899230000000000418e-01 -2.056479999999999975e-01 5.546250000000000346e-01 1.616249999999999909e-01
1.403715525122143030e+09 5.145159999999999734e-01 1.995030000000000081e+00 9.703089999999999771e-01 7.899129999999999763e-01 -2.057390000000000052e-01 5.545780000000000154e-01 1.617159999999999986e-01
1.403715525127142906e+09 5.145020000000000149e-01 1.995006999999999975e+00 9.703009999999999691e-01 7.899009999999999643e-01 -2.057710000000000095e-01 5.545689999999999786e-01 1.617629999999999901e-01
1.403715525132143021e+09 5.144959999999999534e-01 1.994998999999999967e+00 9.702939999999999898e-01 7.899030000000000218e-01 -2.057360000000000022e-01 5.545809999999999906e-01 1.617570000000000119e-01
1.403715525137142897e+09 5.144990000000000396e-01 1.995004000000000000e+00 9.702880000000000393e-01 7.899080000000000545e-01 -2.056630000000000125e-01 5.546189999999999731e-01 1.616990000000000094e-01
1.403715525142143011e+09 5.145060000000000189e-01 1.995014999999999983e+00 9.702819999999999778e-01 7.899159999999999515e-01 -2.055750000000000077e-01 5.546619999999999884e-01 1.616229999999999889e-01
1.403715525147142887e+09 5.145110000000000516e-01 1.995025000000000048e+00 9.702749999999999986e-01 7.899479999999999835e-01 -2.054960000000000120e-01 5.546670000000000211e-01 1.615510000000000002e-01
1.403715525152143002e+09 5.145110000000000516e-01 1.995028000000000024e+00 9.702669999999999906e-01 7.899739999999999540e-01 -2.054509999999999947e-01 5.546590000000000131e-01 1.615060000000000107e-01
1.403715525157143116e+09 5.144520000000000204e-01 1.994914000000000076e+00 9.702610000000000401e-01 7.899709999999999788e-01 -2.054600000000000037e-01 5.546590000000000131e-01 1.615109999999999879e-01
1.403715525162142992e+09 5.144379999999999509e-01 1.994892000000000110e+00 9.702530000000000321e-01 7.899669999999999748e-01 -2.055099999999999982e-01 5.546309999999999851e-01 1.615610000000000102e-01
1.403715525167143106e+09 5.144199999999999884e-01 1.994868000000000086e+00 9.702499999999999458e-01 7.899380000000000290e-01 -2.055909999999999960e-01 5.546189999999999731e-01 1.616390000000000049e-01
1.403715525172143221e+09 5.144030000000000546e-01 1.994845999999999897e+00 9.702469999999999706e-01 7.899040000000000505e-01 -2.056779999999999997e-01 5.546159999999999979e-01 1.617069999999999896e-01
