# time x y z qx qy qz qw
1.403638518077829599e+09 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.403638518127829552e+09 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.403638518177829504e+09 -7.277592699999999988e-07 4.412001100000000119e-05 -1.296780700000000057e-05 -6.082212600000000240e-03 -8.328294200000000425e-01 1.050768199999999953e-03 5.534953200000000129e-01
1.403638518227829456e+09 3.391648900000000205e-06 2.240570800000000052e-04 -9.920884100000000344e-05 -7.685946499999999661e-03 -8.325322499999999737e-01 2.069121100000000189e-03 5.539193999999999507e-01
1.403638518277829409e+09 6.674785100000000442e-05 6.136355500000000409e-04 -2.455268600000000130e-04 -9.366332300000000319e-03 -8.322414700000000387e-01 3.096754199999999808e-03 5.543255499999999447e-01
1.403638518327829599e+09 2.005191899999999954e-04 1.323552699999999997e-03 -4.662280000000000092e-04 -1.097852300000000045e-02 -8.319343300000000552e-01 4.106962399999999729e-03 5.547502899999999793e-01
1.403638518377829552e+09 -1.382094000000000053e-04 -2.810163200000000030e-04 1.262878100000000081e-04 -9.676224799999999168e-03 -8.322880599999999962e-01 6.486577500000000052e-04 5.542585500000000165e-01
1.403638518427829504e+09 1.260385400000000057e-05 2.108203099999999988e-04 1.755689400000000084e-04 -8.534444900000000278e-03 -8.328120700000000154e-01 -2.516368199999999798e-03 5.534843200000000296e-01
1.403638518477829456e+09 1.031888199999999950e-05 2.199649100000000061e-04 1.675284399999999894e-04 -9.811333099999999807e-03 -8.325813399999999476e-01 -2.005954299999999999e-03 5.538122699999999954e-01
1.403638518527829409e+09 -3.391908799999999819e-06 1.824243999999999876e-04 1.692690599999999992e-04 -1.088901500000000015e-02 -8.324489999999999945e-01 -1.776739799999999892e-03 5.539918200000000237e-01
1.403638518577829599e+09 -2.723530099999999933e-05 1.031471000000000005e-04 1.569256899999999866e-04 -1.200875900000000079e-02 -8.322893999999999570e-01 -1.536568000000000092e-03 5.542091500000000392e-01
1.403638518627829552e+09 -5.299219999999999723e-05 1.002777399999999965e-05 1.614060499999999960e-04 -1.309984099999999922e-02 -8.321520500000000320e-01 -1.336211500000000080e-03 5.543911799999999834e-01
1.403638518677829504e+09 -7.750375300000000639e-05 -7.354604500000000000e-05 1.368525299999999933e-04 -1.425533099999999956e-02 -8.320233700000000399e-01 -1.033532300000000086e-03 5.545564200000000499e-01
1.403638518727829456e+09 -1.000968500000000037e-04 -1.535418300000000031e-04 1.290002200000000068e-04 -1.530304700000000018e-02 -8.319040899999999850e-01 -9.342976300000000334e-04 5.547076100000000176e-01
1.403638518777829409e+09 -1.229465699999999974e-04 -2.121023600000000080e-04 1.240223399999999961e-04 -1.634431700000000057e-02 -8.317901300000000164e-01 -8.715345000000000427e-04 5.548488799999999888e-01
1.403638518827829599e+09 -1.446874099999999937e-04 -2.658585800000000149e-04 1.367543799999999983e-04 -1.719388999999999987e-02 -8.317671300000000212e-01 -1.046576399999999936e-03 5.548573799999999556e-01
1.403638518877829552e+09 -1.553287700000000006e-04 -2.960021599999999734e-04 1.314280699999999941e-04 -1.794678599999999929e-02 -8.317898400000000025e-01 -1.328570399999999974e-03 5.547988900000000445e-01
1.403638518927829504e+09 -1.647237300000000120e-04 -3.324208600000000250e-04 1.280989499999999909e-04 -1.861899700000000171e-02 -8.317972200000000038e-01 -1.751438900000000000e-03 5.547644999999999937e-01
1.403638518977829456e+09 -1.709139299999999921e-04 -3.629415100000000019e-04 1.221312499999999905e-04 -1.924166500000000155e-02 -8.318450400000000355e-01 -2.290828099999999996e-03 5.546695799999999954e-01
1.403638519027829409e+09 -1.832934000000000093e-04 -4.008366200000000254e-04 1.164598899999999987e-04 -1.972952399999999828e-02 -8.318971899999999531e-01 -2.975832900000000177e-03 5.545709599999999462e-01
1.403638519077829599e+09 -1.786530100000000129e-04 -4.209016500000000056e-04 1.237757000000000082e-04 -2.023757600000000018e-02 -8.319475299999999907e-01 -3.678281800000000098e-03 5.544729099999999855e-01
1.403638519127829552e+09 -1.831200700000000135e-04 -4.573590100000000241e-04 1.225912200000000077e-04 -2.066146799999999881e-02 -8.320136299999999485e-01 -4.501093099999999882e-03 5.543520100000000062e-01
