# time x y z qx qy qz qw
1.413393889255760431e+09 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.413393889305760384e+09 5.341407800000000058e-05 6.612306299999999592e-05 -3.220695300000000192e-04 -7.661112299999999972e-03 -8.072974200000000433e-01 1.357396199999999931e-03 5.900935000000000485e-01
1.413393889355760574e+09 1.202823000000000054e-04 3.623494299999999993e-04 -1.021988200000000001e-03 -9.594475499999999615e-03 -8.078934399999999627e-01 2.507071999999999946e-03 5.892451600000000456e-01
1.413393889405760527e+09 4.159894399999999946e-04 7.994825900000000415e-04 -1.575504799999999980e-03 -1.160282099999999927e-02 -8.083616599999999819e-01 3.947949299999999745e-03 5.885585899999999926e-01
1.413393889455760479e+09 1.095329300000000023e-03 1.479709700000000081e-03 -2.234811699999999981e-03 -1.353620099999999944e-02 -8.086787699999999912e-01 4.733963699999999691e-03 5.880756900000000398e-01
1.413393889505760431e+09 1.874058500000000014e-03 2.396272400000000209e-03 -3.218941199999999971e-03 -1.587568300000000154e-02 -8.097886399999999485e-01 6.250203200000000250e-03 5.864735800000000498e-01
1.413393889555760384e+09 2.885553300000000005e-03 4.056521199999999633e-03 -4.134080699999999851e-03 -1.783079599999999945e-02 -8.131425599999999587e-01 6.794544300000000120e-03 5.817517300000000224e-01
1.413393889605760574e+09 3.861391699999999847e-03 6.569918200000000180e-03 -4.026385099999999981e-03 -1.975148599999999866e-02 -8.164197399999999494e-01 6.971022000000000329e-03 5.770789400000000402e-01
1.413393889655760527e+09 5.267446099999999881e-03 1.030779799999999996e-02 -2.421146299999999991e-03 -2.125667700000000160e-02 -8.199706500000000231e-01 5.614109400000000076e-03 5.719831899999999747e-01
1.413393889705760479e+09 6.294565200000000298e-03 1.505257400000000086e-02 1.978593399999999981e-03 -2.099211200000000027e-02 -8.221257499999999885e-01 2.268408400000000106e-03 5.689142700000000552e-01
1.413393889755760431e+09 7.029338300000000095e-03 2.072955500000000020e-02 9.450856400000000671e-03 -2.058934999999999932e-02 -8.250347999999999571e-01 -9.652147499999999764e-04 5.647058799999999934e-01
1.413393889805760384e+09 6.830086899999999843e-03 2.724767399999999951e-02 2.144799400000000147e-02 -2.062150600000000125e-02 -8.264000700000000421e-01 -3.692319700000000135e-03 5.626935600000000370e-01
1.413393889855760574e+09 5.580816700000000401e-03 3.442151400000000028e-02 3.762139099999999708e-02 -1.907010500000000039e-02 -8.277710999999999819e-01 -8.086900299999999833e-03 5.606834600000000224e-01
1.413393889905760527e+09 -2.988624000000000055e-03 1.533377799999999930e-02 7.623715500000000089e-02 -1.457049499999999928e-02 -8.329789199999999560e-01 -1.595785099999999859e-02 5.528826000000000018e-01
1.413393889955760479e+09 -5.821144299999999987e-03 2.162461499999999981e-02 1.005660899999999969e-01 -1.101964799999999994e-02 -8.305650300000000374e-01 -2.090186499999999864e-02 5.564201699999999917e-01
1.413393890005760431e+09 -1.435351500000000028e-03 1.756688500000000083e-02 1.021630800000000033e-01 -7.190623000000000153e-03 -8.271601800000000226e-01 -2.626498799999999953e-02 5.613060500000000008e-01
1.413393890055760384e+09 -6.563037499999999601e-03 1.626016300000000109e-02 1.421461499999999989e-01 -6.946434700000000267e-03 -8.236493299999999573e-01 -2.688309800000000110e-02 5.664192999999999589e-01
1.413393890105760574e+09 -1.503606199999999934e-02 1.035885500000000015e-02 1.647688599999999892e-01 -9.019687199999999391e-03 -8.211411199999999466e-01 -2.445206100000000063e-02 5.701298200000000094e-01
1.413393890155760527e+09 -2.898895099999999891e-02 2.176680500000000018e-03 2.054447299999999921e-01 -1.259680200000000069e-02 -8.191418200000000205e-01 -2.051695900000000128e-02 5.730855599999999939e-01
1.413393890205760479e+09 -3.656798099999999940e-02 -4.487521399999999661e-03 2.132404699999999875e-01 -1.556160300000000024e-02 -8.173031899999999572e-01 -1.696583899999999992e-02 5.757477600000000528e-01
1.413393890255760431e+09 -4.859824499999999825e-02 -1.398374999999999965e-02 2.368343099999999923e-01 -1.821925199999999828e-02 -8.158125299999999802e-01 -1.365622900000000063e-02 5.778680499999999665e-01
1.413393890305760384e+09 -6.002079400000000231e-02 -2.455661599999999986e-02 2.543588199999999855e-01 -2.079509699999999850e-02 -8.145711900000000005e-01 -1.052014499999999984e-02 5.795952599999999455e-01
1.413393890355760574e+09 -6.896467200000000464e-02 -3.441550699999999796e-02 2.583682900000000005e-01 -2.214294199999999879e-02 -8.137767200000000090e-01 -8.439656800000000514e-03 5.806943399999999755e-01
1.413393890405760527e+09 -8.360071700000000494e-02 -4.719098399999999832e-02 2.745685299999999773e-01 -2.416129700000000172e-02 -8.138544399999999568e-01 -6.064581999999999785e-03 5.805345800000000223e-01
1.413393890455760479e+09 -9.670161700000000360e-02 -5.963340300000000149e-02 2.831816500000000070e-01 -2.619711099999999862e-02 -8.125027299999999508e-01 -3.879792600000000168e-03 5.823555400000000049e-01
1.413393890505760431e+09 -1.106841499999999950e-01 -7.369207599999999525e-02 2.903255900000000223e-01 -2.776577900000000085e-02 -8.079892199999999525e-01 -1.771697000000000029e-03 5.885400200000000526e-01
