# time x y z qx qy qz qw
1.403638518077829599e+09 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.403638518127829552e+09 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.403638518177829504e+09 6.529446899999999991e-06 1.491043500000000118e-04 -2.050992100000000105e-04 -5.542446900000000225e-03 -8.329578199999999599e-01 1.384088400000000035e-03 5.533069999999999933e-01
1.403638518227829456e+09 1.185240000000000023e-05 1.939226800000000113e-04 -1.772167600000000044e-04 -4.192655800000000266e-03 -8.336116799999999660e-01 -5.205768799999999780e-04 5.523347899999999644e-01
1.403638518277829409e+09 3.224568899999999850e-06 1.176778499999999968e-04 -8.760932000000000300e-05 -3.709211500000000189e-03 -8.334342000000000139e-01 -1.173804400000000000e-03 5.526050099999999521e-01
1.403638518327829599e+09 5.004683600000000352e-06 8.294902699999999528e-05 -4.564370600000000117e-05 -3.644549799999999805e-03 -8.332085000000000186e-01 -1.239329900000000042e-03 5.529455399999999576e-01
1.403638518377829552e+09 -1.427333299999999963e-05 4.064125099999999928e-05 -3.901299600000000312e-05 -3.691943100000000082e-03 -8.331456400000000206e-01 -1.173435399999999936e-03 5.530400899999999842e-01
1.403638518427829504e+09 -7.134904100000000127e-06 3.944234299999999771e-05 -3.259378299999999971e-05 -3.757606699999999945e-03 -8.330772100000000124e-01 -1.044200699999999924e-03 5.531429799999999508e-01
1.403638518477829456e+09 -9.570017799999999201e-06 2.691495700000000137e-05 -2.235353500000000112e-05 -3.793157100000000160e-03 -8.330296000000000367e-01 -9.680048300000000010e-04 5.532145699999999611e-01
1.403638518527829409e+09 -1.923255400000000031e-05 2.728057499999999926e-05 -9.255756799999999534e-06 -3.763706099999999943e-03 -8.330145100000000413e-01 -9.866021700000000231e-04 5.532374500000000195e-01
1.403638518577829599e+09 -2.518910599999999884e-05 2.054603299999999973e-05 -1.989731500000000111e-06 -3.756923200000000188e-03 -8.330207299999999870e-01 -1.007645400000000075e-03 5.532281000000000004e-01
1.403638518627829552e+09 -1.335522200000000066e-05 2.912815599999999969e-05 -6.087710099999999968e-06 -3.724658899999999922e-03 -8.330257899999999882e-01 -1.044073300000000065e-03 5.532206400000000412e-01
1.403638518677829504e+09 -7.364991699999999750e-06 -1.177313599999999929e-05 -7.814844899999999944e-06 -3.729343699999999786e-03 -8.330256400000000117e-01 -1.031720399999999996e-03 5.532208499999999862e-01
1.403638518727829456e+09 -1.244240400000000062e-05 -6.339592200000000082e-05 3.181304699999999702e-05 -3.714798000000000058e-03 -8.330328799999999756e-01 -1.089715800000000054e-03 5.532099299999999609e-01
1.403638518777829409e+09 -3.433610600000000122e-05 -1.511698300000000061e-04 9.414963300000000091e-05 -3.750417800000000086e-03 -8.330287800000000242e-01 -1.098742599999999979e-03 5.532158499999999535e-01
1.403638518827829599e+09 -1.154259700000000037e-05 4.280162699999999914e-06 9.586038599999999622e-06 -3.341031099999999983e-03 -8.331109100000000378e-01 -1.629088899999999980e-03 5.530934800000000262e-01
1.403638518877829552e+09 2.447992600000000106e-08 -4.970270500000000137e-05 5.750401100000000213e-06 -3.288693200000000153e-03 -8.331256500000000509e-01 -1.656756400000000034e-03 5.530715000000000492e-01
1.403638518927829504e+09 7.621578900000000125e-06 -1.642383899999999954e-04 1.141775400000000019e-05 -3.241800700000000215e-03 -8.331065899999999802e-01 -1.694558899999999962e-03 5.531003700000000078e-01
1.403638518977829456e+09 -6.361978199999999938e-06 -1.160554800000000058e-05 4.418782700000000291e-06 -3.097855499999999790e-03 -8.332330000000000014e-01 -1.991399100000000068e-03 5.529097600000000279e-01
1.403638519027829409e+09 -8.428827100000000139e-06 -5.317997599999999670e-05 2.346359900000000073e-05 -3.071930599999999831e-03 -8.332215099999999985e-01 -1.996331899999999934e-03 5.529271999999999521e-01
1.403638519077829599e+09 4.005133499999999962e-06 -9.417246900000000192e-05 4.793751800000000231e-05 -3.087193099999999829e-03 -8.332132500000000164e-01 -1.987538000000000065e-03 5.529395900000000363e-01
1.403638519127829552e+09 1.112280499999999997e-05 -1.321801800000000108e-04 5.729817600000000074e-05 -3.077991600000000178e-03 -8.332181100000000118e-01 -2.009599999999999841e-03 5.529322500000000140e-01
