# time x y z qx qy qz qw
1.413393212255760431e+09 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.413393212305760384e+09 6.211690200000000031e-04 4.013968500000000090e-04 -3.440215999999999847e-03 1.495588500000000036e-02 -7.966112100000000140e-01 1.022571600000000101e-03 6.043060900000000180e-01
1.413393212355760574e+09 1.358220499999999997e-03 1.461767400000000021e-03 -6.955905600000000279e-03 1.050681699999999989e-02 -8.013838599999999479e-01 7.201665900000000196e-03 5.980147500000000393e-01
1.413393212405760527e+09 1.902426999999999938e-03 1.963171399999999803e-03 -9.666452400000000861e-03 9.067190799999999551e-03 -8.014051800000000503e-01 9.178232899999999583e-03 5.979826799999999887e-01
1.413393212455760479e+09 2.340767300000000210e-03 2.059213199999999910e-03 -1.129231900000000031e-02 8.228561000000000555e-03 -8.009733700000000178e-01 1.022378099999999949e-02 5.985561200000000248e-01
1.413393212505760431e+09 2.601651400000000100e-03 2.201063599999999836e-03 -1.136634599999999939e-02 8.580756199999999348e-03 -8.001838100000000509e-01 9.917352299999999607e-03 5.996114500000000458e-01
1.413393212555760384e+09 2.619492900000000048e-03 2.545312799999999934e-03 -1.054560199999999941e-02 9.219813900000000187e-03 -7.996369899999999920e-01 9.277360499999999857e-03 6.003412399999999982e-01
1.413393212605760574e+09 2.718073300000000206e-03 2.703817099999999887e-03 -8.632363800000000809e-03 9.777806099999999598e-03 -7.992218800000000511e-01 8.552595899999999515e-03 6.008957000000000326e-01
1.413393212655760527e+09 2.443758400000000004e-03 2.939893700000000085e-03 -6.601656499999999754e-03 9.554997399999999239e-03 -7.991157899999999925e-01 8.831584999999999436e-03 6.010363300000000075e-01
1.413393212705760479e+09 2.305263799999999943e-03 2.821047599999999909e-03 -5.481689799999999932e-03 9.625652300000000702e-03 -7.990096800000000554e-01 8.947186299999999870e-03 6.011745400000000350e-01
1.413393212755760431e+09 2.134276200000000123e-03 2.634187799999999913e-03 -4.880386300000000115e-03 9.615923099999999779e-03 -7.989727699999999988e-01 8.939881199999999417e-03 6.012238500000000041e-01
1.413393212805760384e+09 1.970416999999999915e-03 2.426854400000000127e-03 -4.431727100000000356e-03 9.649445799999999823e-03 -7.988726800000000017e-01 8.913350599999999777e-03 6.013566999999999663e-01
1.413393212855760574e+09 1.788862300000000106e-03 2.162572499999999929e-03 -4.000623800000000299e-03 9.638647499999999924e-03 -7.988369499999999901e-01 8.892962299999999584e-03 6.014046299999999956e-01
1.413393212905760527e+09 1.551250600000000099e-03 2.008411299999999979e-03 -3.679984600000000064e-03 9.580449200000000498e-03 -7.988299399999999606e-01 8.819617599999999419e-03 6.014159599999999717e-01
1.413393212955760479e+09 1.433780599999999938e-03 1.844539500000000028e-03 -3.308941599999999910e-03 9.534185500000000313e-03 -7.988192100000000018e-01 8.933856900000000309e-03 6.014292700000000158e-01
1.413393213005760431e+09 1.349781599999999972e-03 1.946815200000000029e-03 -3.493641400000000157e-03 9.382506000000000526e-03 -7.986718099999999820e-01 9.203625199999999201e-03 6.016232999999999720e-01
1.413393213055760384e+09 1.381737600000000057e-03 1.939601999999999906e-03 -3.409422400000000197e-03 9.328832400000000580e-03 -7.985081600000000224e-01 9.248473999999999584e-03 6.018406299999999876e-01
1.413393213105760574e+09 1.348198699999999910e-03 1.851485300000000039e-03 -3.354090899999999983e-03 9.351708099999999843e-03 -7.984355199999999542e-01 9.277195499999999970e-03 6.019362099999999716e-01
1.413393213155760527e+09 1.300640199999999894e-03 1.753597800000000024e-03 -3.301609999999999961e-03 9.444372499999999226e-03 -7.983919800000000011e-01 9.136699200000000798e-03 6.019946499999999645e-01
1.413393213205760479e+09 1.260204499999999965e-03 1.698340800000000062e-03 -3.326162000000000129e-03 9.487702000000000635e-03 -7.983748000000000511e-01 8.976193699999999304e-03 6.020191700000000479e-01
1.413393213255760431e+09 1.132030000000000015e-03 1.558699200000000047e-03 -3.271851200000000168e-03 9.620153799999999616e-03 -7.983918500000000140e-01 8.781860100000000308e-03 6.019973199999999469e-01
1.413393213305760384e+09 1.037115400000000048e-03 1.445464399999999957e-03 -3.118472599999999942e-03 9.799101699999999970e-03 -7.983825399999999739e-01 8.653977499999999934e-03 6.020086500000000340e-01
1.413393213355760574e+09 9.883827100000000879e-04 1.289922399999999907e-03 -2.985379099999999845e-03 9.916543599999999223e-03 -7.984057199999999854e-01 8.483894100000000105e-03 6.019783899999999743e-01
1.413393213405760527e+09 9.368413400000000484e-04 1.177931199999999968e-03 -2.904369999999999868e-03 9.984389300000000300e-03 -7.984274500000000385e-01 8.259147399999999806e-03 6.019515800000000416e-01
1.413393213455760479e+09 8.741643499999999850e-04 1.137920900000000037e-03 -2.721699299999999835e-03 1.007360099999999974e-02 -7.984806599999999532e-01 8.168363499999999403e-03 6.018807499999999644e-01
1.413393213505760431e+09 8.219734999999999932e-04 1.027677899999999934e-03 -2.622630999999999834e-03 1.025244999999999976e-02 -7.984864000000000406e-01 8.013878999999999794e-03 6.018721900000000291e-01
1.413393213555760384e+09 7.549141399999999584e-04 9.445586199999999807e-04 -2.534805800000000057e-03 1.037444700000000018e-02 -7.985081000000000540e-01 7.819281000000000842e-03 6.018438699999999475e-01
1.413393213605760574e+09 7.101071000000000032e-04 8.572872999999999735e-04 -2.376158800000000015e-03 1.044985699999999990e-02 -7.985541499999999626e-01 7.639345199999999711e-03 6.017837700000000511e-01
1.413393213655760527e+09 7.483112499999999617e-04 8.356783799999999629e-04 -2.236209600000000058e-03 1.055066900000000037e-02 -7.985978999999999717e-01 7.475393799999999721e-03 6.017260100000000334e-01
1.413393213705760479e+09 7.028987200000000280e-04 7.411469099999999774e-04 -2.167508900000000155e-03 1.065447100000000043e-02 -7.986208599999999880e-01 7.396766199999999999e-03 6.016946800000000373e-01
1.413393213755760431e+09 6.611209699999999858e-04 6.081208199999999474e-04 -2.031442200000000125e-03 1.074220799999999962e-02 -7.986894700000000125e-01 7.311634899999999888e-03 6.016030799999999568e-01
1.413393213805760384e+09 5.991156700000000324e-04 4.794589700000000164e-04 -1.955266800000000048e-03 1.081273500000000040e-02 -7.987159799999999921e-01 7.149604999999999849e-03 6.015685699999999692e-01
1.413393213855760574e+09 5.469366699999999616e-04 4.482109799999999802e-04 -1.860840099999999924e-03 1.083187099999999986e-02 -7.987153700000000356e-01 7.078212700000000197e-03 6.015698900000000515e-01
1.413393213905760527e+09 4.954474599999999932e-04 4.165759800000000163e-04 -1.711824399999999947e-03 1.088381499999999981e-02 -7.987872700000000492e-01 7.034371900000000073e-03 6.014739900000000139e-01
1.413393213955760479e+09 4.522788400000000270e-04 3.585336699999999970e-04 -1.649163199999999999e-03 1.102162999999999927e-02 -7.988295100000000204e-01 6.948885699999999936e-03 6.014163799999999727e-01
1.413393214005760431e+09 3.316040299999999802e-04 1.422278600000000115e-04 -1.488998100000000092e-03 1.125368799999999954e-02 -7.988797300000000101e-01 6.617371700000000169e-03 6.013490999999999698e-01
1.413393214055760384e+09 2.824289400000000254e-04 -3.527588100000000020e-05 -1.593393700000000045e-03 1.120646399999999931e-02 -7.988472899999999877e-01 6.141743199999999923e-03 6.013981200000000360e-01
1.413393214105760574e+09 1.892301099999999967e-04 -1.076315699999999992e-04 -1.501368000000000104e-03 1.139750800000000064e-02 -7.990620899999999471e-01 6.078561500000000291e-03 6.011097499999999982e-01
1.413393214155760527e+09 1.410352900000000007e-04 -2.488556000000000166e-04 -1.447053599999999999e-03 1.156387400000000003e-02 -7.990068099999999562e-01 5.849012300000000324e-03 6.011823200000000478e-01
1.413393214205760479e+09 1.684316500000000055e-04 -4.576210899999999808e-04 -1.290348200000000041e-03 1.162408499999999928e-02 -7.990601000000000509e-01 5.798862699999999919e-03 6.011108099999999954e-01
1.413393214255760431e+09 6.091270499999999738e-05 -6.464383300000000297e-04 -1.382213900000000065e-03 1.191676199999999915e-02 -7.989920099999999747e-01 5.386359099999999886e-03 6.011994200000000399e-01
1.413393214305760384e+09 5.394842500000000178e-05 -7.463965900000000013e-04 -1.407374899999999955e-03 1.187625800000000065e-02 -7.990417300000000056e-01 5.435350000000000251e-03 6.011337100000000433e-01
1.413393214355760574e+09 2.865831199999999918e-05 -7.778433600000000383e-04 -1.341883400000000014e-03 1.190704300000000083e-02 -7.990655399999999631e-01 5.445909900000000387e-03 6.011013499999999787e-01
1.413393214405760527e+09 -3.273634999999999702e-05 -7.595042099999999583e-04 -1.243778600000000059e-03 1.203403899999999985e-02 -7.991323099999999569e-01 5.268877400000000072e-03 6.010116199999999687e-01
1.413393214455760479e+09 1.863037899999999959e-05 -8.010529299999999842e-04 -1.160034400000000028e-03 1.210259500000000071e-02 -7.991158400000000217e-01 5.261522900000000121e-03 6.010322099999999557e-01
1.413393214505760431e+09 -5.540690199999999849e-05 -7.621181899999999966e-04 -1.172754399999999947e-03 1.222775100000000024e-02 -7.992023900000000403e-01 5.041755799999999600e-03 6.009164700000000359e-01
1.413393214555760384e+09 -9.040540600000000326e-05 -8.159744900000000115e-04 -1.139129000000000010e-03 1.225934000000000051e-02 -7.992352499999999527e-01 5.070188300000000314e-03 6.008718800000000249e-01
1.413393214605760574e+09 -1.611609399999999932e-04 -7.892942600000000001e-04 -1.002842799999999939e-03 1.241544399999999944e-02 -7.993252100000000082e-01 4.841812000000000026e-03 6.007508799999999871e-01
1.413393214655760527e+09 -1.821963899999999885e-04 -8.471409299999999943e-04 -8.799441499999999597e-04 1.245385799999999994e-02 -7.993080299999999472e-01 4.782133899999999917e-03 6.007734200000000024e-01
1.413393214705760479e+09 -1.815006600000000127e-04 -8.150706700000000205e-04 -7.734189799999999877e-04 1.248222700000000025e-02 -7.992896999999999919e-01 4.794678000000000134e-03 6.007971300000000126e-01
1.413393214755760431e+09 -1.914440299999999940e-04 -6.190232599999999493e-04 -8.299365699999999759e-04 1.244237800000000047e-02 -7.992690900000000154e-01 4.859164699999999823e-03 6.008248499999999659e-01
